map1,world1.level1
map2,world1.level2
map3,map3
map4,world1.level6
map5,map5
map6,world1.level3
map7,world1.level5
map8,world1.level4
map9,world1.level7
map10,world1.level8
map11,world1.level9
asdf,town1.level1
asdf2,town1.level3
asdf3,town1.level2
map12,world2.level1
map13,world2.level2
map14,world2.level6
map15,world2.level5
map16,world2.level4
map17,world2.level3
map18,world2.level8
map19,town2.level1
map20,town2.level2
map21,town2.level3
map22,world4.level1
map23,world4.level5
map24,world4.level6
map25,world4.level10
map26,world4.level9
map27,world4.level8
map28,world4.level7
map29,world4.level4
map30,world4.level3
map31,world4.level2
map32,world4.level11
map33,town6.level1
map34,town6.level2
map35,town6.level3
map36,town6.level6
map37,town6.level4
map38,town6.level5
map39,world3.level1
map40,world3.level4
map41,world3.level5
map42,world3.level3
map43,world3.level8
map44,world3.level7
map45,world3.level6
map46,world3.level9
map47,world3.level10
map48,world3.level11
map49,world3.level2
map50,world3.level12
map51,world3.level13
map52,town7.level1
map53,town7.level2
map54,town7.level3
map55,town7.level4
map56,town3.level1
map57,town3.level3
map58,town3.level2
map59,world2.level7
map60,world6.level1
map61,world6.level5
map62,world6.level7
map63,world6.level2
map64,world6.level4
map65,world6.level6
map66,world6.level8
map67,world6.level9
map68,world6.level3
map69,town4.level1
map70,town4.level2
map71,town4.level3
map72,town4.level4
map73,world2.level9
map74,world2.level10
map75,world2.level12
map76,world2.level13
map77,world2.level11
map78,world2.level15
map79,world2.level14
map80,world2.level16
map81,town5.level1
map82,town5.level3
map83,town5.level4
map84,town5.level2
map85,world7.level1
map86,world7.level2
map87,world7.level5
map88,world7.level4
map89,world7.level3
map90,world7.level6
map91,world7.level7
map92,world7.level8
map93,world5.level1
map94,world5.level2
map95,world5.level6
map96,world5.level3
map97,world5.level4
map98,world5.level5
map99,world5.level7
